ORTHODOX-KJV-TEXT	PATRIARCHAL-TEXT-1904-GREEK	ENGLISH-TRANSLITERATION
38This is The First and Great Commandment.	αυτη εστι πρωτη και μεγαλη εντολη.	aute esti prote kai megale entole.	Mat|22|38|
39And the second is like unto it, Thou shalt love thy neighbour as thyself.	δευτερα δε ομοια αυτη αγαπησεις τον πλησιον σου ως σεαυτον.	deutera de omoia aute agapeseis ton plesion sou os seauton.	Mat|22|39|
40On these Two Commandments hang all the law and the [prophets PR.A->33].	εν ταυταις ταις δυσιν εντολαις ολος ο νομος και οι προφηται κρεμανται.	en tautais tais dusin entolais olos o nomos kai oi prophetai kremantai.	Mat|22|40|
41While the Pharisees were gathered together, Jesus asked them,	συνηγμενων δε των φαρισαιων επηρωτησεν αυτους ο ιησους	sunegmenon de ton pharisaion eperotesen autous o iesous	Mat|22|41|
42Saying, What think ye of Christ? whose Son is He? They say unto Him, The Son of [David DV->16].	λεγων τι υμιν δοκει περι του χριστου τινος υιος εστι λεγουσιν αυτω του δαυιδ.	legon ti umin dokei peri tou christou tinos uios esti legousin auto tou dauid.	Mat|22|42|
43He saith unto them, How then doth [David DV->17] in Spirit call Him [Lord LR.A->19], saying,	λεγει αυτοις πως ουν δαυιδ εν πνευματι κυριον αυτον καλει λεγων	legei autois pos oun dauid en pneumati kurion auton kalei legon	Mat|22|43|
44The Lord said unto my [Lord LR.A->20], Sit Thou on My Right Hand, till I make Thine enemies Thy footstool?	ειπεν ο κυριος τω κυριω μου καθου εκ δεξιων μου εως αν θω τους εχθρους σου υποποδιον των ποδων σου	eipen o kurios to kurio mou kathou ek dexion mou eos an tho tous echthrous sou upopodion ton podon sou	Mat|22|44|
45If [David DV->18] then call Him [Lord LR.A->21], how is He his Son?	ει ουν δαυιδ καλει αυτον κυριον πως υιος αυτου εστι	ei oun dauid kalei auton kurion pos uios autou esti	Mat|22|45|
46And no man was able to answer Him a word, neither durst any man from that day forth ask Him any more questions.	και ουδεις εδυνατο αυτω αποκριθηναι λογον ουδε ετολμησε τις απ εκεινης της ημερας επερωτησαι αυτον ουκετι.	kai oudeis edunato auto apokrithenai logon oude etolmese tis ap ekeines tes emeras eperotesai auton ouketi.	Mat|22|46|
1Then spake Jesus to the multitude, and to His disciples,	τοτε ο ιησους ελαλησε τοις οχλοις και τοις μαθηταις αυτου	tote o iesous elalese tois ochlois kai tois mathetais autou	Mat|23|1|
2Saying, The scribes and the Pharisees sit in Mosesí seat:	λεγων επι της μωϋσεως καθεδρας εκαθισαν οι γραμματεις και οι φαρισαιοι.	legon epi tes moüseos kathedras ekathisan oi grammateis kai oi pharisaioi.	Mat|23|2|
3All therefore whatsoever they bid you observe, that observe and do; but do not ye after their works: for they say, and do not.	παντα ουν οσα εαν ειπωσιν υμιν τηρειν τηρειτε και ποιειτε κατα δε τα εργα αυτων μη ποιειτε λεγουσι γαρ και ου ποιουσι.	panta oun osa ean eiposin umin terein tereite kai poieite kata de ta erga auton me poieite legousi gar kai ou poiousi.	Mat|23|3|
4For they bind heavy burdens and grievous to be borne, and lay them on menís shoulders; but they themselves will not move them with one of their fingers.	δεσμευουσι γαρ φορτια βαρεα και δυσβαστακτα και επιτιθεασιν επι τους ωμους των ανθρωπων τω δε δακτυλω αυτων ου θελουσι κινησαι αυτα.	desmeuousi gar phortia barea kai dusbastakta kai epititheasin epi tous omous ton anthropon to de daktulo auton ou thelousi kinesai auta.	Mat|23|4|
5But all their works they do for to be seen of men: they make broad their phylacteries, and enlarge the borders of their garments,	παντα δε τα εργα αυτων ποιουσι προς το θεαθηναι τοις ανθρωποις. πλατυνουσι γαρ τα φυλακτηρια αυτων και μεγαλυνουσι τα κρασπεδα των ιματιων αυτων	panta de ta erga auton poiousi pros to theathenai tois anthropois. platunousi gar ta phulakteria auton kai megalunousi ta kraspeda ton imation auton	Mat|23|5|
6And love the uppermost rooms at feasts, and the chief seats in the synagogues,	φιλουσι δε την πρωτοκλισιαν εν τοις δειπνοις και τας πρωτοκαθεδριας εν ταις συναγωγαις	philousi de ten protoklisian en tois deipnois kai tas protokathedrias en tais sunagogais	Mat|23|6|
7And greetings in the markets, and to be called of men, Rabbi, Rabbi.	και τους ασπασμους εν ταις αγοραις και καλεισθαι υπο των ανθρωπων ραββι ραββι	kai tous aspasmous en tais agorais kai kaleisthai upo ton anthropon rabbi rabbi	Mat|23|7|
8But be not ye called Rabbi: for One is your Teacher, even Christ; and all ye are brethren.	υμεις δε μη κληθητε ραββι εις γαρ υμων εστιν ο διδασκαλος ο χριστος παντες δε υμεις αδελφοι εστε.	umeis de me klethete rabbi eis gar umon estin o didaskalos o christos pantes de umeis adelphoi este.	Mat|23|8|
9And call no man your father upon the earth: for One is your Father, which is in Heaven.	και πατερα μη καλεσητε υμων επι της γης εις γαρ εστιν ο πατηρ υμων ο εν τοις ουρανοις.	kai patera me kalesete umon epi tes ges eis gar estin o pater umon o en tois ouranois.	Mat|23|9|
10Neither be ye called masters: for One is your Master, even Christ.	μηδε κληθητε καθηγηται εις γαρ υμων εστιν ο καθηγητης ο χριστος.	mede klethete kathegetai eis gar umon estin o kathegetes o christos.	Mat|23|10|
11But he that is greatest among you shall be your servant.	ο δε μειζων υμων εσται υμων διακονος.	o de meizon umon estai umon diakonos.	Mat|23|11|
12And whosoever shall exalt himself shall be abased; and he that shall humble himself shall be exalted.	οστις δε υψωσει εαυτον ταπεινωθησεται και οστις ταπεινωσει εαυτον υψωθησεται.	ostis de upsosei eauton tapeinothesetai kai ostis tapeinosei eauton upsothesetai.	Mat|23|12|
13But woe unto you, scribes and Pharisees, hypocrites! for ye shut up The Kingdom of Heaven against men: for ye neither go in yourselves, neither suffer ye them that are entering to go in.	ουαι δε υμιν γραμματεις και φαρισαιοι υποκριται οτι κατεσθιετε τας οικιας των χηρων και προφασει μακρα προσευχομενοι δια τουτο ληψεσθε περισσοτερον κριμα.	ouai de umin grammateis kai pharisaioi upokritai oti katesthiete tas oikias ton cheron kai prophasei makra proseuchomenoi dia touto lepsesthe perissoteron krima.	Mat|23|13|
14Woe unto you, scribes and Pharisees, hypocrites! for ye devour widowsí houses, and for a pretence make long prayer: therefore ye shall receive the greater damnation.	ουαι υμιν γραμματεις και φαρισαιοι υποκριται οτι κλειετε την βασιλειαν των ουρανων εμπροσθεν των ανθρωπων υμεις γαρ ουκ εισερχεσθε ουδε τους εισερχομενους αφιετε εισελθειν.	ouai umin grammateis kai pharisaioi upokritai oti kleiete ten basileian ton ouranon emprosthen ton anthropon umeis gar ouk eiserchesthe oude tous eiserchomenous aphiete eiselthein.	Mat|23|14|
15Woe unto you, scribes and Pharisees, hypocrites! for ye compass sea and land to make one proselyte, and when he is made, ye make him twofold more the son of hell than yourselves.	ουαι υμιν γραμματεις και φαρισαιοι υποκριται οτι περιαγετε την θαλασσαν και την ξηραν ποιησαι ενα προσηλυτον και οταν γενηται ποιειτε αυτον υιον γεεννης διπλοτερον υμων.	ouai umin grammateis kai pharisaioi upokritai oti periagete ten thalassan kai ten xeran poiesai ena proseluton kai otan genetai poieite auton uion geennes diploteron umon.	Mat|23|15|
16Woe unto you, ye blind guides, which say, Whosoever shall swear by The Temple, it is nothing; but whosoever shall swear by the gold of The Temple, he is a debtor!	ουαι υμιν οδηγοι τυφλοι οι λεγοντες ος αν ομοση εν τω ναω ουδεν εστιν ος δ αν ομοση εν τω χρυσω του ναου οφειλει.	ouai umin odegoi tuphloi oi legontes os an omose en to nao ouden estin os d an omose en to chruso tou naou opheilei.	Mat|23|16|
17Ye fools and blind: for whether is greater, the gold, or the temple that sanctifieth the gold?	μωροι και τυφλοι. τις γαρ μειζων εστιν ο χρυσος η ο ναος ο αγιαζων τον χρυσον	moroi kai tuphloi. tis gar meizon estin o chrusos e o naos o agiazon ton chruson	Mat|23|17|
18And, Whosoever shall swear by The Altar, it is nothing; but whosoever sweareth by the gift that is upon it, he is guilty.	και ος αν ομοση εν τω θυσιαστηριω ουδεν εστιν ος δ αν ομοση εν τω δωρω τω επανω αυτου οφειλει.	kai os an omose en to thusiasterio ouden estin os d an omose en to doro to epano autou opheilei.	Mat|23|18|
19Ye fools and blind: for whether is greater, the gift, or the altar that sanctifieth the gift?	μωροι και τυφλοι. τι γαρ μειζον το δωρον η το θυσιαστηριον το αγιαζον το δωρον	moroi kai tuphloi. ti gar meizon to doron e to thusiasterion to agiazon to doron	Mat|23|19|
20Whoso therefore shall swear by The Altar, sweareth by it, and by all things thereon.	ο ουν ομοσας εν τω θυσιαστηριω ομνυει εν αυτω και εν πασι τοις επανω αυτου	o oun omosas en to thusiasterio omnuei en auto kai en pasi tois epano autou	Mat|23|20|
21And whoso shall swear by The Temple, sweareth by it, and by Him that dwelleth therein.	και ο ομοσας εν τω ναω ομνυει εν αυτω και εν τω κατοικουντι αυτον	kai o omosas en to nao omnuei en auto kai en to katoikounti auton	Mat|23|21|
22And he that shall swear by Heaven, sweareth by The Throne of God, and by Him that sitteth thereon.	και ο ομοσας εν τω ουρανω ομνυει εν τω θρονω του θεου και εν τω καθημενω επανω αυτου.	kai o omosas en to ourano omnuei en to throno tou theou kai en to kathemeno epano autou.	Mat|23|22|
23Woe unto you, scribes and Pharisees, hypocrites! for ye pay tithe of mint and anise and cummin, and have omitted the weightier matters of the law, judgment, mercy, and faith: these ought ye to have done, and not to leave the other undone.	ουαι υμιν γραμματεις και φαρισαιοι υποκριται οτι αποδεκατουτε το ηδυοσμον και το ανηθον και το κυμινον και αφηκατε τα βαρυτερα του νομου την κρισιν και τον ελεον και την πιστιν ταυτα δε εδει ποιησαι κακεινα μη αφιεναι.	ouai umin grammateis kai pharisaioi upokritai oti apodekatoute to eduosmon kai to anethon kai to kuminon kai aphekate ta barutera tou nomou ten krisin kai ton eleon kai ten pistin tauta de edei poiesai kakeina me aphienai.	Mat|23|23|
24Ye blind guides, which strain at a gnat, and swallow a camel.	οδηγοι τυφλοι οι διϋλιζοντες τον κωνωπα την δε καμηλον καταπινοντες.	odegoi tuphloi oi diülizontes ton konopa ten de kamelon katapinontes.	Mat|23|24|
25Woe unto you, scribes and Pharisees, hypocrites! for ye make clean the outside of the cup and of the platter, but within they are full of extortion and excess.	ουαι υμιν γραμματεις και φαρισαιοι υποκριται οτι καθαριζετε το εξωθεν του ποτηριου και της παροψιδος εσωθεν δε γεμουσιν εξ αρπαγης και αδικιας.	ouai umin grammateis kai pharisaioi upokritai oti katharizete to exothen tou poteriou kai tes paropsidos esothen de gemousin ex arpages kai adikias.	Mat|23|25|
26Thou blind Pharisee, cleanse first that which is within the cup and platter, that the outside of them may be clean also.	φαρισαιε τυφλε καθαρισον πρωτον το εντος του ποτηριου και της παροψιδος ινα γενηται και το εκτος αυτων καθαρον.	pharisaie tuphle katharison proton to entos tou poteriou kai tes paropsidos ina genetai kai to ektos auton katharon.	Mat|23|26|
27Woe unto you, scribes and Pharisees, hypocrites! for ye are like unto whited sepulchres, which indeed appear beautiful outward, but are within full of dead menís bones, and of all uncleanness.	ουαι υμιν γραμματεις και φαρισαιοι υποκριται οτι παρομοιαζετε ταφοις κεκονιαμενοις οιτινες εξωθεν μεν φαινονται ωραιοι εσωθεν δε γεμουσιν οστεων νεκρων και πασης ακαθαρσιας.	ouai umin grammateis kai pharisaioi upokritai oti paromoiazete taphois kekoniamenois oitines exothen men phainontai oraioi esothen de gemousin osteon nekron kai pases akatharsias.	Mat|23|27|
28Even so ye also outwardly appear righteous unto men, but within ye are full of hypocrisy and iniquity.	ουτω και υμεις εξωθεν μεν φαινεσθε τοις ανθρωποις δικαιοι εσωθεν δε μεστοι εστε υποκρισεως και ανομιας.	outo kai umeis exothen men phainesthe tois anthropois dikaioi esothen de mestoi este upokriseos kai anomias.	Mat|23|28|
29Woe unto you, scribes and Pharisees, hypocrites! because ye build the tombs of the [prophets PR.A->34], and garnish the sepulchres of the righteous,	ουαι υμιν γραμματεις και φαρισαιοι υποκριται οτι οικοδομειτε τους ταφους των προφητων και κοσμειτε τα μνημεια των δικαιων	ouai umin grammateis kai pharisaioi upokritai oti oikodomeite tous taphous ton propheton kai kosmeite ta mnemeia ton dikaion	Mat|23|29|
30And say, If we had been in the days of our fathers, we would not have been partakers with them in the blood of the [prophets PR.A->35].	και λεγετε ει ημεν εν ταις ημεραις των πατερων ημων ουκ αν ημεν κοινωνοι αυτων εν τω αιματι των προφητων.	kai legete ei emen en tais emerais ton pateron emon ouk an emen koinonoi auton en to aimati ton propheton.	Mat|23|30|
31Wherefore ye be witnesses unto yourselves, that ye are the sons of them which killed the [prophets PR.A->36].	ωστε μαρτυρειτε εαυτοις οτι υιοι εστε των φονευσαντων τους προφητας.	oste martureite eautois oti uioi este ton phoneusanton tous prophetas.	Mat|23|31|
32Fill ye up then the measure of your fathers.	και υμεις πληρωσατε το μετρον των πατερων υμων.	kai umeis plerosate to metron ton pateron umon.	Mat|23|32|
33Ye serpents, ye generation of vipers, how can ye escape the damnation of hell?	οφεις γεννηματα εχιδνων. πως φυγητε απο της κρισεως της γεεννης	opheis gennemata echidnon. pos phugete apo tes kriseos tes geennes	Mat|23|33|
34Wherefore, behold, I send unto you [prophets PR.A->37], and wise men, and scribes: and some of them ye shall kill and crucify; and some of them shall ye scourge in your synagogues, and persecute them from city to city:	δια τουτο ιδου εγω αποστελλω προς υμας προφητας και σοφους και γραμματεις και εξ αυτων αποκτενειτε και σταυρωσετε και εξ αυτων μαστιγωσετε εν ταις συναγωγαις υμων και διωξετε απο πολεως εις πολιν	dia touto idou ego apostello pros umas prophetas kai sophous kai grammateis kai ex auton apokteneite kai staurosete kai ex auton mastigosete en tais sunagogais umon kai dioxete apo poleos eis polin	Mat|23|34|
35That upon you may come all the righteous blood shed upon the earth, from the blood of righteous Abel unto the blood of Zacharias son of Barachias, whom ye slew between The Temple and The Altar.	οπως ελθη εφ υμας παν αιμα δικαιον εκχυννομενον επι της γης απο του αιματος αβελ του δικαιου εως του αιματος ζαχαριου υιου βαραχιου ον εφονευσατε μεταξυ του ναου και του θυσιαστηριου.	opos elthe eph umas pan aima dikaion ekchunnomenon epi tes ges apo tou aimatos abel tou dikaiou eos tou aimatos zachariou uiou barachiou on ephoneusate metaxu tou naou kai tou thusiasteriou.	Mat|23|35|
36[Amin AM.A->22] I say unto you, All these things shall come upon this generation.	αμην λεγω υμιν ηξει ταυτα παντα επι την γενεαν ταυτην.	amen lego umin exei tauta panta epi ten genean tauten.	Mat|23|36|
37O Jerusalem, Jerusalem, thou that killest the [prophets PR.A->38], and stonest them which are sent unto thee, how often would I have gathered thy children together, even as a hen gathereth her chickens under her wings, and ye would not!	ιερουσαλημ ιερουσαλημ η αποκτεινουσα τους προφητας και λιθοβολουσα τους απεσταλμενους προς αυτην. ποσακις ηθελησα επισυναγαγειν τα τεκνα σου ον τροπον επισυναγει ορνις τα νοσσια εαυτης υπο τας πτερυγας και ουκ ηθελησατε.	ierousalem ierousalem e apokteinousa tous prophetas kai lithobolousa tous apestalmenous pros auten. posakis ethelesa episunagagein ta tekna sou on tropon episunagei ornis ta nossia eautes upo tas pterugas kai ouk ethelesate.	Mat|23|37|
38Behold, your house is left unto you desolate.	ιδου αφιεται υμιν ο οικος υμων ερημος.	idou aphietai umin o oikos umon eremos.	Mat|23|38|
39For I say unto you, Ye shall not see Me henceforth, till ye shall say, Blessed is He that cometh in The [Name NM.A->14 NM.D->9] of The Lord.	λεγω γαρ υμιν ου μη με ιδητε απ αρτι εως αν ειπητε ευλογημενος ο ερχομενος εν ονοματι κυριου.	lego gar umin ou me me idete ap arti eos an eipete eulogemenos o erchomenos en onomati kuriou.	Mat|23|39|
1And Jesus went out, and departed from The Temple: and His disciples came to Him for to shew Him the buildings of The Temple.	και εξελθων ο ιησους επορευετο απο του ιερου και προσηλθον οι μαθηται αυτου επιδειξαι αυτω τας οικοδομας του ιερου.	kai exelthon o iesous eporeueto apo tou ierou kai proselthon oi mathetai autou epideixai auto tas oikodomas tou ierou.	Mat|24|1|
2And Jesus said unto them, See ye not all these things? [Amin AM.A->23] I say unto you, There shall not be left here one stone upon another, that shall not be thrown down.	ο δε ιησους ειπεν αυτοις ου βλεπετε ταυτα παντα αμην λεγω υμιν ου μη αφεθη ωδε λιθος επι λιθον ος ου καταλυθησεται.	o de iesous eipen autois ou blepete tauta panta amen lego umin ou me aphethe ode lithos epi lithon os ou kataluthesetai.	Mat|24|2|
3And as He sat upon the mount of Olives, the disciples came unto Him privately, saying, Tell us, when shall these things be? and what shall be the sign of Thy coming, and of the end of the world?	καθημενου δε αυτου επι του ορους των ελαιων προσηλθον αυτω οι μαθηται κατ ιδιαν λεγοντες ειπε ημιν ποτε ταυτα εσται και τι το σημειον της σης παρουσιας και της συντελειας του αιωνος	kathemenou de autou epi tou orous ton elaion proselthon auto oi mathetai kat idian legontes eipe emin pote tauta estai kai ti to semeion tes ses parousias kai tes sunteleias tou aionos	Mat|24|3|
4And Jesus answered and said unto them, Take heed that no man deceive you.	και αποκριθεις ο ιησους ειπεν αυτοις βλεπετε μη τις υμας πλανηση	kai apokritheis o iesous eipen autois blepete me tis umas planese	Mat|24|4|
5For many shall come in My [Name NM.A->15 NM.D->10], saying, [I AM IA->3] The Christ; and shall deceive many.	πολλοι γαρ ελευσονται επι τω ονοματι μου λεγοντες εγω ειμι ο χριστος και πολλους πλανησουσι.	polloi gar eleusontai epi to onomati mou legontes ego eimi o christos kai pollous planesousi.	Mat|24|5|
6And ye shall hear of wars and rumours of wars: see that ye be not troubled: for all these things must come to pass, but the end is not yet.	μελλησετε δε ακουειν πολεμους και ακοας πολεμων ορατε μη θροεισθε δει γαρ παντα γενεσθαι αλλ ουπω εστι το τελος.	mellesete de akouein polemous kai akoas polemon orate me throeisthe dei gar panta genesthai all oupo esti to telos.	Mat|24|6|
7For nation shall rise against nation, and kingdom against kingdom: and there shall be famines, and pestilences, and earthquakes, in divers places.	εγερθησεται γαρ εθνος επι εθνος και βασιλεια επι βασιλειαν και εσονται λιμοι και λοιμοι και σεισμοι κατα τοπους	egerthesetai gar ethnos epi ethnos kai basileia epi basileian kai esontai limoi kai loimoi kai seismoi kata topous	Mat|24|7|
8All these are the beginning of sorrows.	παντα δε ταυτα αρχη ωδινων.	panta de tauta arche odinon.	Mat|24|8|
9Then shall they deliver you up to be afflicted, and shall kill you: and ye shall be hated of all nations for My [Name NM.A->16 NM.D->11] ~.	τοτε παραδωσουσιν υμας εις θλιψιν και αποκτενουσιν υμας και εσεσθε μισουμενοι υπο παντων των εθνων δια το ονομα μου.	tote paradosousin umas eis thlipsin kai apoktenousin umas kai esesthe misoumenoi upo panton ton ethnon dia to onoma mou.	Mat|24|9|
10And then shall many be offended, and shall betray one another, and shall hate one another.	και τοτε σκανδαλισθησονται πολλοι και αλληλους παραδωσουσι και μισησουσιν αλληλους.	kai tote skandalisthesontai polloi kai allelous paradosousi kai misesousin allelous.	Mat|24|10|
11And many false prophets shall rise, and shall deceive many.	και πολλοι ψευδοπροφηται εγερθησονται και πλανησουσι πολλους	kai polloi pseudoprophetai egerthesontai kai planesousi pollous	Mat|24|11|
12And because iniquity shall abound, the love of many shall wax cold.	και δια το πληθυνθηναι την ανομιαν ψυγησεται η αγαπη των πολλων.	kai dia to plethunthenai ten anomian psugesetai e agape ton pollon.	Mat|24|12|
13But he that shall endure unto the end, the same shall be saved.	ο δε υπομεινας εις τελος ουτος σωθησεται.	o de upomeinas eis telos outos sothesetai.	Mat|24|13|
14And this Gospel of The Kingdom shall be preached in all the world for a witness unto all nations; and then shall the end come.	και κηρυχθησεται τουτο το ευαγγελιον της βασιλειας εν ολη τη οικουμενη εις μαρτυριον πασι τοις εθνεσι και τοτε ηξει το τελος.	kai keruchthesetai touto to euaggelion tes basileias en ole te oikoumene eis marturion pasi tois ethnesi kai tote exei to telos.	Mat|24|14|
15When ye therefore shall see the abomination of desolation, spoken of by Daniel the [prophet PR.A->39], stand in The Holy Place, whoso readeth, let him understand:	῞οταν ουν ιδητε το βδελυγμα της ερημωσεως το ρηθεν δια δανιηλ του προφητου εστος εν τοπω αγιω - ο αναγινωσκων νοειτω -	῞otan oun idete to bdelugma tes eremoseos to rethen dia daniel tou prophetou estos en topo agio - o anaginoskon noeito -	Mat|24|15|
16Then let them which be in Judaea flee into the mountains:	τοτε οι εν τη ιουδαια φευγετωσαν εις τα ορη	tote oi en te ioudaia pheugetosan eis ta ore	Mat|24|16|
17Let him which is on the housetop not come down to take any thing out of his house:	ο επι του δωματος μη καταβαινετω αραι τα εκ της οικιας αυτου	o epi tou domatos me katabaineto arai ta ek tes oikias autou	Mat|24|17|
18Neither let him which is in the field return back to take his clothes.	και ο εν τω αγρω μη επιστρεψατω οπισω αραι τα ιματια αυτου.	kai o en to agro me epistrepsato opiso arai ta imatia autou.	Mat|24|18|
19And woe unto them that are with child, and to them that give suck in those days!	ουαι δε ταις εν γαστρι εχουσαις και ταις θηλαζουσαις εν εκειναις ταις ημεραις.	ouai de tais en gastri echousais kai tais thelazousais en ekeinais tais emerais.	Mat|24|19|
20But pray ye that your flight be not in the winter, neither on the sabbath day:	προσευχεσθε δε ινα μη γενηται η φυγη υμων χειμωνος μηδε σαββατω.	proseuchesthe de ina me genetai e phuge umon cheimonos mede sabbato.	Mat|24|20|
21For then shall be great tribulation, such as was not since the beginning of the world to this time, no, nor ever shall be.	εσται γαρ τοτε θλιψις μεγαλη οια ου γεγονεν απ αρχης κοσμου εως του νυν ουδ ου μη γενηται.	estai gar tote thlipsis megale oia ou gegonen ap arches kosmou eos tou nun oud ou me genetai.	Mat|24|21|
22And except those days should be shortened, there should no flesh be saved: but for the electís sake those days shall be shortened.	και ει μη εκολοβωθησαν αι ημεραι εκειναι ουκ αν εσωθη πασα σαρξ δια δε τους εκλεκτους κολοβωθησονται αι ημεραι εκειναι.	kai ei me ekolobothesan ai emerai ekeinai ouk an esothe pasa sarx dia de tous eklektous kolobothesontai ai emerai ekeinai.	Mat|24|22|
23Then if any man shall say unto you, Behold, here is The Christ, or there; believe it not.	τοτε εαν τις υμιν ειπη ιδου ωδε ο χριστος η ωδε μη πιστευσητε	tote ean tis umin eipe idou ode o christos e ode me pisteusete	Mat|24|23|
24For there shall arise false christs, and false prophets, and shall shew great signs and wonders; insomuch that, if it were possible, they shall deceive the very elect.	εγερθησονται γαρ ψευδοχριστοι και ψευδοπροφηται και δωσουσι σημεια μεγαλα και τερατα ωστε πλανησαι ει δυνατον και τους εκλεκτους.	egerthesontai gar pseudochristoi kai pseudoprophetai kai dosousi semeia megala kai terata oste planesai ei dunaton kai tous eklektous.	Mat|24|24|
25Behold, I have told you before.	ιδου προειρηκα υμιν.	idou proeireka umin.	Mat|24|25|
26Wherefore if they shall say unto you, Behold, He is in the desert; go not forth: behold, He is in the secret chambers; believe it not.	εαν ουν ειπωσιν υμιν ιδου εν τη ερημω εστι μη εξελθητε ιδου εν τοις ταμειοις μη πιστευσητε	ean oun eiposin umin idou en te eremo esti me exelthete idou en tois tameiois me pisteusete	Mat|24|26|
27For as the lightning cometh out of the east, and shineth even unto the west; so shall also The Coming of The Son of man be.	ωσπερ γαρ η αστραπη εξερχεται απο ανατολων και φαινεται εως δυσμων ουτως εσται και η παρουσια του υιου του ανθρωπου	osper gar e astrape exerchetai apo anatolon kai phainetai eos dusmon outos estai kai e parousia tou uiou tou anthropou	Mat|24|27|
28For wheresoever the carcase is, there will the eagles be gathered together.	οπου γαρ εαν η το πτωμα εκει συναχθησονται οι αετοι.	opou gar ean e to ptoma ekei sunachthesontai oi aetoi.	Mat|24|28|
29Immediately after the tribulation of those days shall the sun be darkened, and the moon shall not give her light, and the stars shall fall from heaven, and the powers of the heavens shall be shaken:	ευθεως δε μετα την θλιψιν των ημερων εκεινων ο ηλιος σκοτισθησεται και η σεληνη ου δωσει το φεγγος αυτης και οι αστερες πεσουνται απο του ουρανου και αι δυναμεις των ουρανων σαλευθησονται.	eutheos de meta ten thlipsin ton emeron ekeinon o elios skotisthesetai kai e selene ou dosei to pheggos autes kai oi asteres pesountai apo tou ouranou kai ai dunameis ton ouranon saleuthesontai.	Mat|24|29|
30And then shall appear The Sign of The Son of man in heaven: and then shall all the tribes of the earth mourn, and they shall see The Son of man coming in the clouds of Heaven with Power and Great Glory.	και τοτε φανησεται το σημειον του υιου του ανθρωπου εν τω ουρανω και τοτε κοψονται πασαι αι φυλαι της γης και οψονται τον υιον του ανθρωπου ερχομενον επι των νεφελων του ουρανου μετα δυναμεως και δοξης πολλης.	kai tote phanesetai to semeion tou uiou tou anthropou en to ourano kai tote kopsontai pasai ai phulai tes ges kai opsontai ton uion tou anthropou erchomenon epi ton nephelon tou ouranou meta dunameos kai doxes polles.	Mat|24|30|
31And He shall send His Angels with a great sound of a trumpet, and they shall gather together His elect from the four winds, from one end of heaven to the other.	και αποστελει τους αγγελους αυτου μετα σαλπιγγος φωνης μεγαλης και επισυναξουσι τους εκλεκτους αυτου εκ των τεσσαρων ανεμων απ ακρων ουρανων εως ακρων αυτων.	kai apostelei tous aggelous autou meta salpiggos phones megales kai episunaxousi tous eklektous autou ek ton tessaron anemon ap akron ouranon eos akron auton.	Mat|24|31|
32Now learn a parable of the fig tree; When his branch is yet tender, and putteth forth leaves, ye know that summer is nigh:	απο δε της συκης μαθετε την παραβολην. οταν ηδη ο κλαδος αυτης γενηται απαλος και τα φυλλα εκφυη γινωσκετε οτι εγγυς το θερος	apo de tes sukes mathete ten parabolen. otan ede o klados autes genetai apalos kai ta phulla ekphue ginoskete oti eggus to theros	Mat|24|32|
33So likewise ye, when ye shall see all these things, know that it is near, even at the doors.	ουτω και υμεις οταν ιδητε παντα ταυτα γινωσκετε οτι εγγυς εστιν επι θυραις.	outo kai umeis otan idete panta tauta ginoskete oti eggus estin epi thurais.	Mat|24|33|
34[Amin AM.A->24] I say unto you, This generation shall not pass, till all these things be fulfilled.	αμην λεγω υμιν ου μη παρελθη η γενεα αυτη εως αν παντα ταυτα γενηται.	amen lego umin ou me parelthe e genea aute eos an panta tauta genetai.	Mat|24|34|
35Heaven and earth shall pass away, but My Words shall not pass away.	ο ουρανος και η γη παρελευσονται οι δε λογοι μου ου μη παρελθωσι.	o ouranos kai e ge pareleusontai oi de logoi mou ou me parelthosi.	Mat|24|35|
36But of that day and hour knoweth no man, no, not the angels of Heaven, but My Father only.	περι δε της ημερας εκεινης και ωρας ουδεις οιδεν ουδε οι αγγελοι των ουρανων ει μη ο πατηρ μου μονος.	peri de tes emeras ekeines kai oras oudeis oiden oude oi aggeloi ton ouranon ei me o pater mou monos.	Mat|24|36|
37But as the days of Noah were, so shall also The Coming of The Son of man be.	ωσπερ δε αι ημεραι του νωε ουτως εσται και η παρουσια του υιου του ανθρωπου.	osper de ai emerai tou noe outos estai kai e parousia tou uiou tou anthropou.	Mat|24|37|
38For as in the days that were before the flood they were eating and drinking, marrying and giving in marriage, until the day that Noah entered into the ark,	ωσπερ γαρ ησαν εν ταις ημεραις ταις προ του κατακλυσμου τρωγοντες και πινοντες γαμουντες και εκγαμιζοντες αχρι ης ημερας εισηλθε νωε εις την κιβωτον	osper gar esan en tais emerais tais pro tou kataklusmou trogontes kai pinontes gamountes kai ekgamizontes achri es emeras eiselthe noe eis ten kiboton	Mat|24|38|
39And knew not until the flood came, and took them all away; so shall also The Coming of The Son of man be.	και ουκ εγνωσαν εως ηλθεν ο κατακλυσμος και ηρεν απαντας ουτως εσται και η παρουσια του υιου του ανθρωπου.	kai ouk egnosan eos elthen o kataklusmos kai eren apantas outos estai kai e parousia tou uiou tou anthropou.	Mat|24|39|
40Then shall two be in the field; the one shall be taken, and the other left.	τοτε δυο εσονται εν τω αγρω ο εις παραλαμβανεται και ο εις αφιεται	tote duo esontai en to agro o eis paralambanetai kai o eis aphietai	Mat|24|40|
