1. The beginning of The Gospel of Jesus Christ, [The Son of God SG->5];	αρχη του ευαγγελιου ιησου χριστου υιου του θεου.	arche tou euaggeliou iesou christou uiou tou theou.	Mar|1|1|

10. And when He was alone, they that were about Him with the [twelve TW->12] asked of Him the parable.	῞οτε δε εγενετο κατα μονας ηρωτησαν αυτον οι περι αυτον συν τοις δωδεκα την παραβολην.	῞ote de egeneto kata monas erotesan auton oi peri auton sun tois dodeka ten parabolen.	Mar|4|10|

11. And He said unto them, Unto you it is given to know the mystery of The Kingdom of God: but unto them that are without, all these things are done in parables:	και ελεγεν αυτοις υμιν δεδοται γνωναι το μυστηριον της βασιλειας του θεου. εκεινοις δε τοις εξω εν παραβολαις τα παντα γινεται	kai elegen autois umin dedotai gnonai to musterion tes basileias tou theou. ekeinois de tois exo en parabolais ta panta ginetai	Mar|4|11|

12. That seeing they may see, and not perceive; and hearing they may hear, and not understand; lest at any time they should be converted, and their sins should be forgiven them.	ινα βλεποντες βλεπωσι και μη ιδωσι και ακουοντες ακουωσι και μη συνιωσι μηποτε επιστρεψωσι και αφεθη αυτοις τα αμαρτηματα.	ina blepontes bleposi kai me idosi kai akouontes akouosi kai me suniosi mepote epistrepsosi kai aphethe autois ta amartemata.	Mar|4|12|

13. And He said unto them, Know ye not this parable? and how then will ye know all parables?	και λεγει αυτοις ουκ οιδατε την παραβολην ταυτην και πως πασας τας παραβολας γνωσεσθε	kai legei autois ouk oidate ten parabolen tauten kai pos pasas tas parabolas gnosesthe	Mar|4|13|

14. The Sower soweth The Word.	ο σπειρων τον λογον σπειρει.	o speiron ton logon speirei.	Mar|4|14|

15. And these are they by the way side, where The Word is sown; but when they have heard, Satan cometh immediately, and taketh away The Word that was sown in their hearts.	ουτοι δε εισιν οι παρα την οδον οπου σπειρεται ο λογος και οταν ακουσωσιν ευθυς ερχεται ο σατανας και αιρει τον λογον τον εσπαρμενον εν ταις καρδιαις αυτων.	outoi de eisin oi para ten odon opou speiretai o logos kai otan akousosin euthus erchetai o satanas kai airei ton logon ton esparmenon en tais kardiais auton.	Mar|4|15|

16. And these are they likewise which are sown on stony ground; who, when they have heard The Word, immediately receive it with gladness;	και ουτοι ομοιως εισιν οι επι τα πετρωδη σπειρομενοι οι οταν ακουσωσι τον λογον ευθυς μετα χαρας λαμβανουσιν αυτον	kai outoi omoios eisin oi epi ta petrode speiromenoi oi otan akousosi ton logon euthus meta charas lambanousin auton	Mar|4|16|

17. And have no root in themselves, and so endure but for a time: afterward, when affliction or persecution ariseth for The Wordís sake, immediately they are offended.	και ουκ εχουσι ριζαν εν εαυτοις αλλα προσκαιροι εισιν. ειτα γενομενης θλιψεως η διωγμου δια τον λογον ευθυς σκανδαλιζονται.	kai ouk echousi rizan en eautois alla proskairoi eisin. eita genomenes thlipseos e diogmou dia ton logon euthus skandalizontai.	Mar|4|17|

18. And these are they which are sown among thorns; such as hear The Word,	και ουτοι εισιν οι εις τας ακανθας σπειρομενοι οι τον λογον ακουοντες	kai outoi eisin oi eis tas akanthas speiromenoi oi ton logon akouontes	Mar|4|18|

19. And the cares of this world, and the deceitfulness of riches, and the lusts of other things entering in, choke The Word, and it becometh unfruitful.	και αι μεριμναι του αιωνος τουτου και η απατη του πλουτου και αι περι τα λοιπα επιθυμιαι εισπορευομεναι συμπνιγουσι τον λογον και ακαρπος γινεται.	kai ai merimnai tou aionos toutou kai e apate tou ploutou kai ai peri ta loipa epithumiai eisporeuomenai sumpnigousi ton logon kai akarpos ginetai.	Mar|4|19|

20. And these are they which are sown on good ground; such as hear The Word, and receive it, and bring forth fruit, some thirtyfold, some sixty, and some an hundred.	και ουτοι εισιν οι επι την γην την καλην σπαρεντες οιτινες ακουουσι τον λογον και παραδεχονται και καρποφορουσιν εν τριακοντα και εν εξηκοντα και εν εκατον.	kai outoi eisin oi epi ten gen ten kalen sparentes oitines akouousi ton logon kai paradechontai kai karpophorousin en triakonta kai en exekonta kai en ekaton.	Mar|4|20|

21. And He said unto them, Is a candle brought to be put under a bushel, or under a bed? and not to be set on a candlestick?	και ελεγεν αυτοις μητι ερχεται ο λυχνος ινα υπο τον μοδιον τεθη η υπο την κλινην ουχ ινα επι την λυχνιαν επιτεθη	kai elegen autois meti erchetai o luchnos ina upo ton modion tethe e upo ten klinen ouch ina epi ten luchnian epitethe	Mar|4|21|

22. For there is nothing hid, which shall not be manifested; neither was any thing kept secret, but that it should come abroad.	ου γαρ εστι κρυπτον ο εαν μη φανερωθη ουδε εγενετο αποκρυφον αλλ ινα ελθη εις φανερον.	ou gar esti krupton o ean me phanerothe oude egeneto apokruphon all ina elthe eis phaneron.	Mar|4|22|

23. If any man have ears to hear, let him hear.	ει τις εχει ωτα ακουειν ακουετω.	ei tis echei ota akouein akoueto.	Mar|4|23|

24. And He said unto them, Take heed what ye hear: with what measure ye mete, it shall be measured to you: and unto you that hear shall more be given.	και ελεγεν αυτοις βλεπετε τι ακουετε. εν ω μετρω μετρειτε μετρηθησεται υμιν και προστεθησεται υμιν τοις ακουουσιν.	kai elegen autois blepete ti akouete. en o metro metreite metrethesetai umin kai prostethesetai umin tois akouousin.	Mar|4|24|

25. For he that hath, to him shall be given: and he that hath not, from him shall be taken even that which he hath.	ος γαρ αν εχει δοθησεται αυτω και ος ουκ εχει και ο εχει αρθησεται απ αυτου.	os gar an echei dothesetai auto kai os ouk echei kai o echei arthesetai ap autou.	Mar|4|25|

26. And He said, So is The Kingdom of God, as if a Man should cast seed into the ground;	και ελεγεν ουτως εστιν η βασιλεια του θεου ως εαν ανθρωπος βαλη τον σπορον επι της γης	kai elegen outos estin e basileia tou theou os ean anthropos bale ton sporon epi tes ges	Mar|4|26|

27. And should sleep, and rise night and day, and the seed should spring and grow up, He knoweth not how.	και καθευδη και εγειρηται νυκτα και ημεραν και ο σπορος βλαστανη και μηκυνηται ως ουκ οιδεν αυτος.	kai katheude kai egeiretai nukta kai emeran kai o sporos blastane kai mekunetai os ouk oiden autos.	Mar|4|27|

28. For the earth bringeth forth fruit of herself; first the blade, then the ear, after that the full corn in the ear.	αυτοματη γαρ η γη καρποφορει πρωτον χορτον ειτα σταχυν ειτα πληρη σιτον εν τω σταχυι.	automate gar e ge karpophorei proton chorton eita stachun eita plere siton en to stachui.	Mar|4|28|

29. But when the fruit is brought forth, immediately He putteth in the sickle, because the harvest is come.	οταν δε παραδω ο καρπος ευθεως αποστελλει το δρεπανον οτι παρεστηκεν ο θερισμος.	otan de parado o karpos eutheos apostellei to drepanon oti paresteken o therismos.	Mar|4|29|

30. And He said, Whereunto shall we liken The Kingdom of God? or with what comparison shall we compare it?	και ελεγε πως ομοιωσωμεν την βασιλειαν του θεου η εν τινι παραβολη παραβαλωμεν αυτην	kai elege pos omoiosomen ten basileian tou theou e en tini parabole parabalomen auten	Mar|4|30|

31. It is like a grain of mustard seed, which, when it is sown in the earth, is less than all the seeds that be in the earth:	ως κοκκω σιναπεως ος οταν σπαρη επι της γης μικροτερος παντων των σπερματων εστι των επι της γης	os kokko sinapeos os otan spare epi tes ges mikroteros panton ton spermaton esti ton epi tes ges	Mar|4|31|

32. But when it is sown, it groweth up, and becometh greater than all herbs, and shooteth out great branches; so that the fowls of the air may lodge under the shadow of it.	και οταν σπαρη αναβαινει και γινεται μειζον παντων των λαχανων και ποιει κλαδους μεγαλους ωστε δυνασθαι υπο την σκιαν αυτου τα πετεινα του ουρανου κατασκηνουν.	kai otan spare anabainei kai ginetai meizon panton ton lachanon kai poiei kladous megalous oste dunasthai upo ten skian autou ta peteina tou ouranou kataskenoun.	Mar|4|32|

33. And with many such parables spake He The Word unto them, as they were able to hear it.	και τοιαυταις παραβολαις πολλαις ελαλει αυτοις τον λογον καθως ηδυναντο ακουειν	kai toiautais parabolais pollais elalei autois ton logon kathos edunanto akouein	Mar|4|33|

34. But without a parable spake He not unto them: and when they were alone, He expounded all things to His disciples.	χωρις δε παραβολης ουκ ελαλει αυτοις κατ ιδιαν δε τοις ιδιοις μαθηταις αυτου επελυε παντα.	choris de paraboles ouk elalei autois kat idian de tois idiois mathetais autou epelue panta.	Mar|4|34|

35. And the same day, when the even was come, He saith unto them, Let us pass over unto the other side.	και λεγει αυτοις εν εκεινη τη ημερα οψιας γενομενης διελθωμεν εις το περαν.	kai legei autois en ekeine te emera opsias genomenes dielthomen eis to peran.	Mar|4|35|

36. And when they had sent away the multitude, they took Him even as He was in the ship. And there were also with Him other little ships.	και αφεντες τον οχλον παραλαμβανουσιν αυτον ως ην εν τω πλοιω και αλλα δε πλοια ην μετ αυτου.	kai aphentes ton ochlon paralambanousin auton os en en to ploio kai alla de ploia en met autou.	Mar|4|36|

37. And there arose a great storm of wind, and the waves beat into the ship, so that it was now full.	και γινεται λαιλαψ ανεμου μεγαλη τα δε κυματα επεβαλλεν εις το πλοιον ωστε αυτο ηδη γεμιζεσθαι.	kai ginetai lailaps anemou megale ta de kumata epeballen eis to ploion oste auto ede gemizesthai.	Mar|4|37|

38. And He was in the hinder part of the ship, asleep on a pillow: and they awake Him, and say unto Him, Teacher, carest Thou not that we perish?	και ην αυτος επι τη πρυμνη επι το προσκεφαλαιον καθευδων και διεγειρουσιν αυτον και λεγουσιν αυτω διδασκαλε ου μελει σοι οτι απολλυμεθα	kai en autos epi te prumne epi to proskephalaion katheudon kai diegeirousin auton kai legousin auto didaskale ou melei soi oti apollumetha	Mar|4|38|

39. And He arose, and rebuked the wind, and said unto the sea, Peace, be still. And the wind ceased, and there was a great calm.	και διεγερθεις επετιμησε τω ανεμω και ειπε τη θαλασση σιωπα πεφιμωσο. και εκοπασεν ο ανεμος και εγενετο γαληνη μεγαλη.	kai diegertheis epetimese to anemo kai eipe te thalasse siopa pephimoso. kai ekopasen o anemos kai egeneto galene megale.	Mar|4|39|

40. And He said unto them, Why are ye so fearful? how is it that ye have no faith?	και ειπεν αυτοις τι δειλοι εστε ουτω πως ουκ εχετε πιστιν	kai eipen autois ti deiloi este outo pos ouk echete pistin	Mar|4|40|

41. And they feared exceedingly, and said one to another, What manner of Man is this, that even the wind and the sea obey Him?	και εφοβηθησαν φοβον μεγαν και ελεγον προς αλληλους τις αρα ουτος εστιν οτι και ο ανεμος και η θαλασσα υπακουουσιν αυτω	kai ephobethesan phobon megan kai elegon pros allelous tis ara outos estin oti kai o anemos kai e thalassa upakouousin auto	Mar|4|41|

1. And they came over unto the other side of the sea, into the country of the Gadarenes.	και ηλθον εις το περαν της θαλασσης εις την χωραν των γαδαρηνων.	kai elthon eis to peran tes thalasses eis ten choran ton gadarenon.	Mar|5|1|

2. And when He was come out of the ship, immediately there met Him out of the tombs a man with an unclean spirit,	και εξελθοντος αυτου εκ του πλοιου ευθεως απηντησεν αυτω εκ των μνημειων ανθρωπος εν πνευματι ακαθαρτω	kai exelthontos autou ek tou ploiou eutheos apentesen auto ek ton mnemeion anthropos en pneumati akatharto	Mar|5|2|

3. Who had his dwelling among the tombs; and no man could bind him, no, not with chains:	ος την κατοικησιν ειχεν εν τοις μνημασι και ουτε αλυσεσιν ουδεις ηδυνατο αυτον δησαι	os ten katoikesin eichen en tois mnemasi kai oute alusesin oudeis edunato auton desai	Mar|5|3|

4. Because that he had been often bound with fetters and chains, and the chains had been plucked asunder by him, and the fetters broken in pieces: neither could any man tame him.	δια το αυτον πολλακις πεδαις και αλυσεσι δεδεσθαι και διεσπασθαι υπ αυτου τας αλυσεις και τας πεδας συντετριφθαι και ουδεις ισχυεν αυτον δαμασαι	dia to auton pollakis pedais kai alusesi dedesthai kai diespasthai up autou tas aluseis kai tas pedas suntetriphthai kai oudeis ischuen auton damasai	Mar|5|4|

5. And always, night and day, he was in the mountains, and in the tombs, crying, and cutting himself with stones.	και δια παντος νυκτος και ημερας εν τοις μνημασι και εν τοις ορεσιν ην κραζων και κατακοπτων εαυτον λιθοις.	kai dia pantos nuktos kai emeras en tois mnemasi kai en tois oresin en krazon kai katakopton eauton lithois.	Mar|5|5|

6. But when he saw Jesus afar off, he ran and [worshipped WR->12] Him,	ιδων δε τον ιησουν απο μακροθεν εδραμε και προσεκυνησεν αυτον	idon de ton iesoun apo makrothen edrame kai prosekunesen auton	Mar|5|6|

7. And cried with a loud voice, and said, What have I to do with thee, Jesus, Thou Son of The Most High God? I adjure thee by God, that Thou torment me not.	και κραξας φωνη μεγαλη λεγει τι εμοι και σοι ιησου υιε του θεου του υψιστου ορκιζω σε τον θεον μη με βασανισης.	kai kraxas phone megale legei ti emoi kai soi iesou uie tou theou tou upsistou orkizo se ton theon me me basanises.	Mar|5|7|

8. For He said unto him, Come out of the man, thou unclean spirit.	ελεγε γαρ αυτω εξελθε το πνευμα το ακαθαρτον εκ του ανθρωπου.	elege gar auto exelthe to pneuma to akatharton ek tou anthropou.	Mar|5|8|

9. And He asked him, What is thy name? And he answered, saying, My name is Legion: for we are many.	και επηρωτα αυτον τι ονομα σοι και απεκριθη λεγων λεγεων ονομα μοι οτι πολλοι εσμεν.	kai eperota auton ti onoma soi kai apekrithe legon legeon onoma moi oti polloi esmen.	Mar|5|9|

10. And he besought Him much that He would not send them away out of the country.	και παρεκαλει αυτον πολλα ινα μη αυτους αποστειλη εξω της χωρας.	kai parekalei auton polla ina me autous aposteile exo tes choras.	Mar|5|10|

11. Now there was there nigh unto the mountains a great herd of swine feeding.	ην δε εκει προς τω ορει αγελη χοιρων μεγαλη βοσκομενη	en de ekei pros to orei agele choiron megale boskomene	Mar|5|11|

12. And all the devils besought Him, saying, Send us into the swine, that we may enter into them.	και παρεκαλεσαν αυτον παντες οι δαιμονες λεγοντες πεμψον ημας εις τους χοιρους ινα εις αυτους εισελθωμεν.	kai parekalesan auton pantes oi daimones legontes pempson emas eis tous choirous ina eis autous eiselthomen.	Mar|5|12|

13. And forthwith Jesus gave them leave. And the unclean spirits went out, and entered into the swine: and the herd ran violently down a steep place into the sea, they were about two thousand; and were choked in the sea.	και επετρεψεν αυτοις ευθεως ο ιησους. και εξελθοντα τα πνευματα τα ακαθαρτα εισηλθον εις τους χοιρους και ωρμησεν η αγελη κατα του κρημνου εις την θαλασσαν ησαν δε ως δισχιλιοι και επνιγοντο εν τη θαλασση.	kai epetrepsen autois eutheos o iesous. kai exelthonta ta pneumata ta akatharta eiselthon eis tous choirous kai ormesen e agele kata tou kremnou eis ten thalassan esan de os dischilioi kai epnigonto en te thalasse.	Mar|5|13|

14. And they that fed the swine fled, and told it in the city, and in the country. And they went out to see what it was that was done.	και οι βοσκοντες τους χοιρους εφυγον και απηγγειλαν εις την πολιν και εις τους αγρους και εξηλθον ιδειν τι εστι το γεγονος.	kai oi boskontes tous choirous ephugon kai apeggeilan eis ten polin kai eis tous agrous kai exelthon idein ti esti to gegonos.	Mar|5|14|

15. And they come to Jesus, and see him that was possessed with the devil, and had the legion, sitting, and clothed, and in his right mind: and they were afraid.	και ερχονται προς τον ιησουν και θεωρουσι τον δαιμονιζομενον καθημενον και ιματισμενον και σωφρονουντα τον εσχηκοτα τον λεγεωνα και εφοβηθησαν.	kai erchontai pros ton iesoun kai theorousi ton daimonizomenon kathemenon kai imatismenon kai sophronounta ton eschekota ton legeona kai ephobethesan.	Mar|5|15|

16. And they that saw it told them how it befell to him that was possessed with the devil, and also concerning the swine.	και διηγησαντο αυτοις οι ιδοντες πως εγενετο τω δαιμονιζομενω και περι των χοιρων.	kai diegesanto autois oi idontes pos egeneto to daimonizomeno kai peri ton choiron.	Mar|5|16|

17. And they began to pray Him to depart out of their coasts.	και ηρξαντο παρακαλειν αυτον απελθειν απο των οριων αυτων.	kai erxanto parakalein auton apelthein apo ton orion auton.	Mar|5|17|

18. And when He was come into the ship, he that had been possessed with the devil prayed Him that he might be with Him.	και εμβαινοντος αυτου εις το πλοιον παρεκαλει αυτον ο δαιμονισθεις ινα μετ αυτου η.	kai embainontos autou eis to ploion parekalei auton o daimonistheis ina met autou e.	Mar|5|18|

19. Howbeit Jesus suffered him not, but saith unto him, Go home to thy friends, and tell them how great things The Lord hath done for thee, and hath had compassion on thee.	και ουκ αφηκεν αυτον αλλα λεγει αυτω υπαγε εις τον οικον σου προς τους σους και αναγγειλον αυτοις οσα σοι ο κυριος πεποιηκε και ηλεησε σε.	kai ouk apheken auton alla legei auto upage eis ton oikon sou pros tous sous kai anaggeilon autois osa soi o kurios pepoieke kai eleese se.	Mar|5|19|

20. And he departed, and began to publish in Decapolis how great things Jesus had done for him: and all men did marvel.	και απηλθε και ηρξατο κηρυσσειν εν τη δεκαπολει οσα εποιησεν αυτω ο ιησους και παντες εθαυμαζον.	kai apelthe kai erxato kerussein en te dekapolei osa epoiesen auto o iesous kai pantes ethaumazon.	Mar|5|20|

21. And when Jesus was passed over again by ship unto the other side, much people gathered unto Him: and He was nigh unto the sea.	και διαπερασαντος του ιησου εν τω πλοιω παλιν εις το περαν συνηχθη οχλος πολυς επ αυτον και ην παρα την θαλασσαν.	kai diaperasantos tou iesou en to ploio palin eis to peran sunechthe ochlos polus ep auton kai en para ten thalassan.	Mar|5|21|

22. And, behold, there cometh one of the rulers of the synagogue, Jairus by name; and when he saw Him, he fell at His Feet,	και ερχεται εις των αρχισυναγωγων ονοματι ιαιρος και ιδων αυτον πιπτει προς τους ποδας αυτου	kai erchetai eis ton archisunagogon onomati iairos kai idon auton piptei pros tous podas autou	Mar|5|22|

23. And besought Him greatly, saying, My little daughter lieth at the point of death: I pray Thee, come and lay Thy Hands on her, that she may be healed; and she shall live.	και παρεκαλει αυτον πολλα λεγων οτι το θυγατριον μου εσχατως εχει ινα ελθων επιθης αυτη τας χειρας οπως σωθη και ζησεται.	kai parekalei auton polla legon oti to thugatrion mou eschatos echei ina elthon epithes aute tas cheiras opos sothe kai zesetai.	Mar|5|23|

24. And Jesus went with him; and much people followed Him, and thronged Him.	και απηλθε μετ αυτου και ηκολουθει αυτω οχλος πολυς και συνεθλιβον αυτον.	kai apelthe met autou kai ekolouthei auto ochlos polus kai sunethlibon auton.	Mar|5|24|

25. And a certain woman, which had an issue of blood twelve years,	και γυνη τις ουσα εν ρυσει αιματος ετη δωδεκα	kai gune tis ousa en rusei aimatos ete dodeka	Mar|5|25|

26. And had suffered many things of many physicians, and had spent all that she had, and was nothing bettered, but rather grew worse,	και πολλα παθουσα υπο πολλων ιατρων και δαπανησασα τα παρ εαυτης παντα και μηδεν ωφεληθεισα αλλα μαλλον εις το χειρον ελθουσα	kai polla pathousa upo pollon iatron kai dapanesasa ta par eautes panta kai meden opheletheisa alla mallon eis to cheiron elthousa	Mar|5|26|

27. When she had heard of Jesus, came in the press behind, and touched His garment.	ακουσασα περι του ιησου ελθουσα εν τω οχλω οπισθεν ηψατο του ιματιου αυτου	akousasa peri tou iesou elthousa en to ochlo opisthen epsato tou imatiou autou	Mar|5|27|

28. For she said, If I may touch but His clothes, I shall be whole.	ελεγε γαρ οτι εαν αψωμαι καν των ιματιων αυτου σωθησομαι.	elege gar oti ean apsomai kan ton imation autou sothesomai.	Mar|5|28|

29. And straightway the fountain of her blood was dried up; and she felt in her body that she was healed of that plague.	και ευθεως εξηρανθη η πηγη του αιματος αυτης και εγνω τω σωματι οτι ιαται απο της μαστιγος.	kai eutheos exeranthe e pege tou aimatos autes kai egno to somati oti iatai apo tes mastigos.	Mar|5|29|

30. And Jesus, immediately knowing in Himself that virtue had gone out of Him, turned Him about in the press, and said, Who touched My clothes?	και ευθεως ο ιησους επιγνους εν εαυτω την εξ αυτου δυναμιν εξελθουσαν επιστραφεις εν τω οχλω ελεγε τις μου ηψατο των ιματιων	kai eutheos o iesous epignous en eauto ten ex autou dunamin exelthousan epistrapheis en to ochlo elege tis mou epsato ton imation	Mar|5|30|

31. And His disciples said unto Him, Thou seest the multitude thronging Thee, and sayest Thou, Who touched Me?	και ελεγον αυτω οι μαθηται αυτου βλεπεις τον οχλον συνθλιβοντα σε και λεγεις τις μου ηψατο	kai elegon auto oi mathetai autou blepeis ton ochlon sunthlibonta se kai legeis tis mou epsato	Mar|5|31|

32. And He looked round about to see her that had done this thing.	και περιεβλεπετο ιδειν την τουτο ποιησασαν.	kai perieblepeto idein ten touto poiesasan.	Mar|5|32|

33. But the woman fearing and trembling, knowing what was done in her, came and fell down before Him, and told Him all the truth.	η δε γυνη φοβηθεισα και τρεμουσα ειδυια ο γεγονεν επ αυτη ηλθε και προσεπεσεν αυτω και ειπεν αυτω πασαν την αληθειαν.	e de gune phobetheisa kai tremousa eiduia o gegonen ep aute elthe kai prosepesen auto kai eipen auto pasan ten aletheian.	Mar|5|33|

34. And He said unto her, Daughter, thy faith hath made thee whole; go in peace, and be whole of thy plague.	ο δε ειπεν αυτη θυγατηρ η πιστις σου σεσωκε σε υπαγε εις ειρηνην και ισθι υγιης απο της μαστιγος σου.	o de eipen aute thugater e pistis sou sesoke se upage eis eirenen kai isthi ugies apo tes mastigos sou.	Mar|5|34|

35. While He yet spake, there came from the ruler of the synagogueís house certain which said, Thy daughter is dead: why troublest thou The Teacher any further?	ετι αυτου λαλουντος ερχονται απο του αρχισυναγωγου λεγοντες οτι η θυγατηρ σου απεθανε τι ετι σκυλλεις τον διδασκαλον	eti autou lalountos erchontai apo tou archisunagogou legontes oti e thugater sou apethane ti eti skulleis ton didaskalon	Mar|5|35|

36. As soon as Jesus heard the word that was spoken, He saith unto the ruler of the synagogue, Fear not, only believe.	ο δε ιησους ευθεως ακουσας τον λογον λαλουμενον λεγει τω αρχισυναγωγω μη φοβου μονον πιστευε.	o de iesous eutheos akousas ton logon laloumenon legei to archisunagogo me phobou monon pisteue.	Mar|5|36|

37. And He suffered no man to follow Him, save Peter, and James, and John the brother of James.	και ουκ αφηκεν ουδενα αυτω συνακολουθησαι ει μη πετρον και ιακωβον και ιωαννην τον αδελφον ιακωβου.	kai ouk apheken oudena auto sunakolouthesai ei me petron kai iakobon kai ioannen ton adelphon iakobou.	Mar|5|37|

38. And He cometh to the house of the ruler of the synagogue, and seeth the tumult, and them that wept and wailed greatly.	και ερχεται εις τον οικον του αρχισυναγωγου και θεωρει θορυβον και κλαιοντας και αλαλαζοντας πολλα	kai erchetai eis ton oikon tou archisunagogou kai theorei thorubon kai klaiontas kai alalazontas polla	Mar|5|38|

39. And when He was come in, He saith unto them, Why make ye this ado, and weep? the damsel is not dead, but sleepeth.	και εισελθων λεγει αυτοις τι θορυβεισθε και κλαιετε το παιδιον ουκ απεθανε αλλα καθευδει.	kai eiselthon legei autois ti thorubeisthe kai klaiete to paidion ouk apethane alla katheudei.	Mar|5|39|

40. And they laughed Him to scorn. But when He had put them all out, He taketh the father and the mother of the damsel, and them that were with Him, and entereth in where the damsel was lying.	και κατεγελων αυτου. ο δε εκβαλων παντας παραλαμβανει τον πατερα του παιδιου και την μητερα και τους μετ αυτου και εισπορευεται οπου ην το παιδιον ανακειμενον	kai kategelon autou. o de ekbalon pantas paralambanei ton patera tou paidiou kai ten metera kai tous met autou kai eisporeuetai opou en to paidion anakeimenon	Mar|5|40|

41. And He took the damsel by the hand, and said unto her, Talitha cumi; which is, being interpreted, Damsel, I say unto thee, arise.	και κρατησας της χειρος του παιδιου λεγει αυτη ταλιθα κουμι ο εστι μεθερμηνευομενον το κορασιον σοι λεγω εγειρε.	kai kratesas tes cheiros tou paidiou legei aute talitha koumi o esti methermeneuomenon to korasion soi lego egeire.	Mar|5|41|

42. And straightway the damsel arose, and walked; for she was of the age of twelve years. And they were astonished with a great astonishment.	και ευθεως ανεστη το κορασιον και περιεπατει ην γαρ ετων δωδεκα. και εξεστησαν εκστασει μεγαλη.	kai eutheos aneste to korasion kai periepatei en gar eton dodeka. kai exestesan ekstasei megale.	Mar|5|42|

43. And He charged them straitly that no man should know it; and commanded that something should be given her to eat.	και διεστειλατο αυτοις πολλα ινα μηδεις γνω τουτο και ειπε δοθηναι αυτη φαγειν.	kai diesteilato autois polla ina medeis gno touto kai eipe dothenai aute phagein.	Mar|5|43|

1. And He went out from thence, and came into His own country; and His disciples follow Him.	και εξηλθεν εκειθεν και ηλθεν εις την πατριδα αυτου και ακολουθουσιν αυτω οι μαθηται αυτου.	kai exelthen ekeithen kai elthen eis ten patrida autou kai akolouthousin auto oi mathetai autou.	Mar|6|1|

2. And when the sabbath day was come, He began to teach in the synagogue: and many hearing Him were astonished, saying, From whence hath this Man these things? and what Wisdom is this which is given unto Him, that even such mighty works are wrought by His Hands?	και γενομενου σαββατου ηρξατο εν τη συναγωγη διδασκειν και πολλοι ακουοντες εξεπλησσοντο λεγοντες ποθεν τουτω ταυτα και τις η σοφια η δοθεισα τουτω και δυναμεις τοιαυται δια των χειρων αυτου γινονται	kai genomenou sabbatou erxato en te sunagoge didaskein kai polloi akouontes exeplessonto legontes pothen touto tauta kai tis e sophia e dotheisa touto kai dunameis toiautai dia ton cheiron autou ginontai	Mar|6|2|

3. Is not this The Carpenter, The Son of [Mary MR.A->e6], The Brother of James, and Joses, and of Juda, and Simon? and are not His sisters here with us? And they were offended at Him.	ουχ ουτος εστιν ο τεκτων ο υιος της μαριας αδελφος δε ιακωβου και ιωση και ιουδα και σιμωνος και ουκ εισιν αι αδελφαι αυτου ωδε προς ημας και εσκανδαλιζοντο εν αυτω.	ouch outos estin o tekton o uios tes marias adelphos de iakobou kai iose kai iouda kai simonos kai ouk eisin ai adelphai autou ode pros emas kai eskandalizonto en auto.	Mar|6|3|

4. But Jesus said unto them, A [prophet PR.B->2] is not without honour, but in his own country, and among his own kin, and in his own house.	ελεγε δε αυτοις ο ιησους οτι ουκ εστι προφητης ατιμος ει μη εν τη πατριδι αυτου και εν τοις συγγενεσι και εν τη οικια αυτου.	elege de autois o iesous oti ouk esti prophetes atimos ei me en te patridi autou kai en tois suggenesi kai en te oikia autou.	Mar|6|4|

5. And He could there do no mighty work, save that He laid His Hands upon a few sick folk, and healed them.	και ουκ ηδυνατο εκει ουδεμιαν δυναμιν ποιησαι ει μη ολιγοις αρρωστοις επιθεις τας χειρας εθεραπευσε	kai ouk edunato ekei oudemian dunamin poiesai ei me oligois arrostois epitheis tas cheiras etherapeuse	Mar|6|5|

6. And He marvelled because of their unbelief. And He went round about the villages, teaching.	και εθαυμαζε δια την απιστιαν αυτων. και περιηγε τας κωμας κυκλω διδασκων.	kai ethaumaze dia ten apistian auton. kai periege tas komas kuklo didaskon.	Mar|6|6|

7. And He called unto Him the [twelve TW->13], and began to send them forth by two and two; and gave them power over unclean spirits;	και προσκαλειται τους δωδεκα και ηρξατο αυτους αποστελλειν δυο δυο και εδιδου αυτοις εξουσιαν των πνευματων των ακαθαρτων	kai proskaleitai tous dodeka kai erxato autous apostellein duo duo kai edidou autois exousian ton pneumaton ton akatharton	Mar|6|7|

8. And commanded them that they should take nothing for their journey, save a staff only; no scrip, no bread, no money in their purse:	και παρηγγειλεν αυτοις ινα μηδεν αιρωσιν εις οδον ει μη ραβδον μονον μη πηραν μη αρτον μη εις την ζωνην χαλκον	kai pareggeilen autois ina meden airosin eis odon ei me rabdon monon me peran me arton me eis ten zonen chalkon	Mar|6|8|

9. But be shod with sandals; and not put on two coats.	αλλ υποδεδεμενους σανδαλια και μη ενδυσασθε δυο χιτωνας.	all upodedemenous sandalia kai me endusasthe duo chitonas.	Mar|6|9|

10. And He said unto them, In what place soever ye enter into an house, there abide till ye depart from that place.	και ελεγεν αυτοις οπου εαν εισελθητε εις οικιαν εκει μενετε εως αν εξελθητε εκειθεν	kai elegen autois opou ean eiselthete eis oikian ekei menete eos an exelthete ekeithen	Mar|6|10|

