1. Forasmuch as many have taken in hand to set forth in order a declaration of those things which are most surely believed among us,	επειδηπερ πολλοι επεχειρησαν αναταξασθαι διηγησιν περι των πεπληροφορημενων εν ημιν πραγματων	epeideper polloi epecheiresan anataxasthai diegesin peri ton peplerophoremenon en emin pragmaton	Luk|1|1|

43. For a good tree bringeth not forth corrupt fruit; neither doth a corrupt tree bring forth good fruit.	ου γαρ εστι δενδρον καλον ποιουν καρπον σαπρον ουδε δενδρον σαπρον ποιουν καρπον καλον	ou gar esti dendron kalon poioun karpon sapron oude dendron sapron poioun karpon kalon	Luk|6|43|

44. For every tree is known by his own fruit. For of thorns men do not gather figs, nor of a bramble bush gather they grapes.	εκαστον γαρ δενδρον εκ του ιδιου καρπου γινωσκεται ου γαρ εξ ακανθων συλλεγουσι συκα ουδε εκ βατου τρυγωσι σταφυλην.	ekaston gar dendron ek tou idiou karpou ginosketai ou gar ex akanthon sullegousi suka oude ek batou trugosi staphulen.	Luk|6|44|

45. A good man out of the good treasure of his heart bringeth forth that which is good; and an evil man out of the evil treasure of his heart bringeth forth that which is evil: for of the abundance of the heart his mouth speaketh.	ο αγαθος ανθρωπος εκ του αγαθου θησαυρου της καρδιας αυτου προφερει το αγαθον και ο πονηρος ανθρωπος εκ του πονηρου θησαυρου της καρδιας αυτου προφερει το πονηρον εκ γαρ του περισσευματος της καρδιας λαλει το στομα αυτου.	o agathos anthropos ek tou agathou thesaurou tes kardias autou propherei to agathon kai o poneros anthropos ek tou ponerou thesaurou tes kardias autou propherei to poneron ek gar tou perisseumatos tes kardias lalei to stoma autou.	Luk|6|45|

46. And why call ye Me, Lord, Lord, and do not the things which I say?	τι δε με καλειτε κυριε κυριε και ου ποιειτε α λεγω	ti de me kaleite kurie kurie kai ou poieite a lego	Luk|6|46|

47. Whosoever cometh to Me, and heareth My Words, and doeth them, I will shew you to whom he is like:	πας ο ερχομενος προς με και ακουων μου των λογων και ποιων αυτους υποδειξω υμιν τινι εστιν ομοιος	pas o erchomenos pros me kai akouon mou ton logon kai poion autous upodeixo umin tini estin omoios	Luk|6|47|

48. He is like a man which built an house, and digged deep, and laid the foundation on a rock: and when the flood arose, the stream beat vehemently upon that house, and could not shake it: for it was founded upon The Rock.	ομοιος εστιν ανθρωπω οικοδομουντι οικιαν ος εσκαψε και εβαθυνε και εθηκε θεμελιον επι την πετραν πλημμυρας δε γενομενης προσερρηξεν ο ποταμος τη οικια εκεινη και ουκ ισχυσε σαλευσαι αυτην τεθεμελιωτο γαρ επι την πετραν.	omoios estin anthropo oikodomounti oikian os eskapse kai ebathune kai etheke themelion epi ten petran plemmuras de genomenes proserrexen o potamos te oikia ekeine kai ouk ischuse saleusai auten tethemelioto gar epi ten petran.	Luk|6|48|

49. But he that heareth, and doeth not, is like a man that without a foundation built an house upon the earth; against which the stream did beat vehemently, and immediately it fell; and the ruin of that house was great.	ο δε ακουσας και μη ποιησας ομοιος εστιν ανθρωπω οικοδομησαντι οικιαν επι την γην χωρις θεμελιου η προσερρηξεν ο ποταμος και ευθυς επεσε και εγενετο το ρηγμα της οικιας εκεινης μεγα.	o de akousas kai me poiesas omoios estin anthropo oikodomesanti oikian epi ten gen choris themeliou e proserrexen o potamos kai euthus epese kai egeneto to regma tes oikias ekeines mega.	Luk|6|49|

1. Now when He had ended all His sayings in the audience of the people, He entered into Capernaum.	επει δε επληρωσε παντα τα ρηματα αυτου εις τας ακοας του λαου εισηλθεν εις καπερναουμ.	epei de eplerose panta ta remata autou eis tas akoas tou laou eiselthen eis kapernaoum.	Luk|7|1|

2. And a certain centurionís servant, who was dear unto him, was sick, and ready to die.	εκατονταρχου δε τινος δουλος κακως εχων ημελλε τελευταν ος ην αυτω εντιμος.	ekatontarchou de tinos doulos kakos echon emelle teleutan os en auto entimos.	Luk|7|2|

3. And when he heard of Jesus, he sent unto Him the elders of the Jews, beseeching him that he would come and heal his servant.	ακουσας δε περι του ιησου απεστειλε προς αυτον πρεσβυτερους των ιουδαιων ερωτων αυτον οπως ελθων διασωση τον δουλον αυτου.	akousas de peri tou iesou apesteile pros auton presbuterous ton ioudaion eroton auton opos elthon diasose ton doulon autou.	Luk|7|3|

4. And when they came to Jesus, they besought Him instantly, saying, That he was worthy for whom He should do this:	οι δε παραγενομενοι προς τον ιησουν παρεκαλουν αυτον σπουδαιως λεγοντες οτι αξιος εστιν ω παρεξει τουτο	oi de paragenomenoi pros ton iesoun parekaloun auton spoudaios legontes oti axios estin o parexei touto	Luk|7|4|

5. For he loveth our nation, and he hath built us a synagogue.	αγαπα γαρ το εθνος ημων και την συναγωγην αυτος ωκοδομησεν ημιν.	agapa gar to ethnos emon kai ten sunagogen autos okodomesen emin.	Luk|7|5|

6. Then Jesus went with them. And when He was now not far from the house, the centurion sent friends to Him, saying unto Him, [Lord LR.B->15], trouble not Thyself: for I am not worthy that Thou shouldest enter under my roof:	ο δε ιησους επορευετο συν αυτοις. ηδη δε αυτου ου μακραν απεχοντος απο της οικιας επεμψε προς αυτον ο εκατονταρχος φιλους λεγων αυτω κυριε μη σκυλλου ου γαρ ειμι ικανος ινα υπο την στεγην μου εισελθης	o de iesous eporeueto sun autois. ede de autou ou makran apechontos apo tes oikias epempse pros auton o ekatontarchos philous legon auto kurie me skullou ou gar eimi ikanos ina upo ten stegen mou eiselthes	Luk|7|6|

7. Wherefore neither thought I myself worthy to come unto Thee: but say in a Word, and my servant shall be healed.	διο ουδε εμαυτον ηξιωσα προς σε ελθειν αλλα ειπε λογω και ιαθησεται ο παις μου.	dio oude emauton exiosa pros se elthein alla eipe logo kai iathesetai o pais mou.	Luk|7|7|

8. For I also am a man set under authority, having under me soldiers, and I say unto one, Go, and he goeth; and to another, Come, and he cometh; and to my servant, Do this, and he doeth it.	και γαρ εγω ανθρωπος ειμι υπο εξουσιαν τασσομενος εχων υπ εμαυτον στρατιωτας και λεγω τουτω πορευθητι και πορευεται και αλλω ερχου και ερχεται και τω δουλω μου ποιησον τουτο και ποιει.	kai gar ego anthropos eimi upo exousian tassomenos echon up emauton stratiotas kai lego touto poreutheti kai poreuetai kai allo erchou kai erchetai kai to doulo mou poieson touto kai poiei.	Luk|7|8|

9. When Jesus heard these things, He marvelled at him, and turned Him about, and said unto the people that followed Him, I say unto you, I have not found so great faith, no, not in Israel.	ακουσας δε ταυτα ο ιησους εθαυμασεν αυτον και στραφεις τω ακολουθουντι αυτω οχλω ειπε λεγω υμιν ουδε εν τω ισραηλ τοσαυτην πιστιν ευρον.	akousas de tauta o iesous ethaumasen auton kai strapheis to akolouthounti auto ochlo eipe lego umin oude en to israel tosauten pistin euron.	Luk|7|9|

10. And they that were sent, returning to the house, found the servant whole that had been sick.	και υποστρεψαντες οι πεμφθεντες εις τον οικον ευρον τον ασθενουντα δουλον υγιαινοντα.	kai upostrepsantes oi pemphthentes eis ton oikon euron ton asthenounta doulon ugiainonta.	Luk|7|10|

11. And it came to pass the day after, that He went into a city called Nain; and many of His disciples went with Him, and much people.	και εγενετο εν τω εξης επορευετο εις πολιν καλουμενην ναιν και συνεπορευοντο αυτω οι μαθηται αυτου ικανοι και οχλος πολυς.	kai egeneto en to exes eporeueto eis polin kaloumenen nain kai suneporeuonto auto oi mathetai autou ikanoi kai ochlos polus.	Luk|7|11|

12. Now when he came nigh to the gate of the city, behold, there was a dead man carried out, the only son of his mother, and she was a widow: and much people of the city was with her.	ως δε ηγγισε τη πυλη της πολεως και ιδου εξεκομιζετο τεθνηκως υιος μονογενης τη μητρι αυτου και αυτη ην χηρα και οχλος της πολεως ικανος ην συν αυτη.	os de eggise te pule tes poleos kai idou exekomizeto tethnekos uios monogenes te metri autou kai aute en chera kai ochlos tes poleos ikanos en sun aute.	Luk|7|12|

13. And when The [Lord LR.C->21] saw her, He had compassion on her, and said unto her, Weep not.	και ιδων αυτην ο κυριος εσπλαγχνισθη επ αυτη και ειπεν αυτη μη κλαιε.	kai idon auten o kurios esplagchnisthe ep aute kai eipen aute me klaie.	Luk|7|13|

14. And He came and touched the bier: and they that bare him stood still. And He said, Young man, I say unto thee, Arise.	και προσελθων ηψατο της σορου οι δε βασταζοντες εστησαν και ειπε νεανισκε σοι λεγω εγερθητι.	kai proselthon epsato tes sorou oi de bastazontes estesan kai eipe neaniske soi lego egertheti.	Luk|7|14|

15. And he that was dead sat up, and began to speak. And He delivered him to his mother.	και ανεκαθισε ο νεκρος και ηρξατο λαλειν και εδωκεν αυτον τη μητρι αυτου.	kai anekathise o nekros kai erxato lalein kai edoken auton te metri autou.	Luk|7|15|

16. And there came a fear on all: and they glorified God, saying, That a great [prophet PR.B->18] is risen up among us; and, That God hath visited His people.	ελαβε δε φοβος παντας και εδοξαζον τον θεον λεγοντες οτι προφητης μεγας εγηγερται εν ημιν και οτι επεσκεψατο ο θεος τον λαον αυτου.	elabe de phobos pantas kai edoxazon ton theon legontes oti prophetes megas egegertai en emin kai oti epeskepsato o theos ton laon autou.	Luk|7|16|

17. And this rumour of Him went forth throughout all Judaea, and throughout all the region round about.	και εξηλθεν ο λογος ουτος εν ολη τη ιουδαια περι αυτου και εν παση τη περιχωρω.	kai exelthen o logos outos en ole te ioudaia peri autou kai en pase te perichoro.	Luk|7|17|

18. And the disciples of John shewed him of all these things.	και απηγγειλαν ιωαννη οι μαθηται αυτου περι παντων τουτων και προσκαλεσαμενος δυο τινας των μαθητων αυτου ο ιωαννης	kai apeggeilan ioanne oi mathetai autou peri panton touton kai proskalesamenos duo tinas ton matheton autou o ioannes	Luk|7|18|

19. And John calling unto him two of his disciples sent them to Jesus, saying, Art Thou He that should come? or look we for another?	επεμψε προς τον ιησουν λεγων συ ει ο ερχομενος η ετερον προσδοκωμεν	epempse pros ton iesoun legon su ei o erchomenos e eteron prosdokomen	Luk|7|19|

20. When the men were come unto Him, they said, John Baptist hath sent us unto Thee, saying, Art Thou He that should come? or look we for another?	παραγενομενοι δε προς αυτον οι ανδρες ειπον ιωαννης ο βαπτιστης απεσταλκεν ημας προς σε λεγων συ ει ο ερχομενος η ετερον προσδοκωμεν	paragenomenoi de pros auton oi andres eipon ioannes o baptistes apestalken emas pros se legon su ei o erchomenos e eteron prosdokomen	Luk|7|20|

21. And in that same hour He cured many of their infirmities and plagues, and of evil spirits; and unto many that were blind He gave sight.	εν εκεινη δε τη ωρα εθεραπευσε πολλους απο νοσων και μαστιγων και πνευματων πονηρων και τυφλοις πολλοις εχαρισατο το βλεπειν.	en ekeine de te ora etherapeuse pollous apo noson kai mastigon kai pneumaton poneron kai tuphlois pollois echarisato to blepein.	Luk|7|21|

22. Then Jesus answering said unto them, Go your way, and tell John what things ye have seen and heard; how that the blind see, the lame walk, the lepers are cleansed, the deaf hear, the dead are raised, to the poor The Gospel is preached.	και αποκριθεις ο ιησους ειπεν αυτοις πορευθεντες απαγγειλατε ιωαννη α ειδετε και ηκουσατε τυφλοι αναβλεπουσι χωλοι περιπατουσι λεπροι καθαριζονται κωφοι ακουουσι νεκροι εγειρονται πτωχοι ευαγγελιζονται	kai apokritheis o iesous eipen autois poreuthentes apaggeilate ioanne a eidete kai ekousate tuphloi anablepousi choloi peripatousi leproi katharizontai kophoi akouousi nekroi egeirontai ptochoi euaggelizontai	Luk|7|22|

23. And blessed is he, whosoever shall not be offended in Me.	και μακαριος εστιν ος εαν μη σκανδαλισθη εν εμοι.	kai makarios estin os ean me skandalisthe en emoi.	Luk|7|23|

24. And when the messengers of John were departed, He began to speak unto the people concerning John, What went ye out into the wilderness for to see? A reed shaken with the wind?	απελθοντων δε των αγγελων ιωαννου ηρξατο λεγειν προς τους οχλους περι ιωαννου τι εξεληλυθατε εις την ερημον θεασασθαι καλαμον υπο ανεμου σαλευομενον	apelthonton de ton aggelon ioannou erxato legein pros tous ochlous peri ioannou ti exeleluthate eis ten eremon theasasthai kalamon upo anemou saleuomenon	Luk|7|24|

25. But what went ye out for to see? A man clothed in soft raiment? Behold, they which are gorgeously apparelled, and live delicately, are in kings courts.	αλλα τι εξεληλυθατε ιδειν ανθρωπον εν μαλακοις ιματιοις ημφιεσμενον ιδου οι εν ιματισμω ενδοξω και τρυφη υπαρχοντες εν τοις βασιλειοις εισιν.	alla ti exeleluthate idein anthropon en malakois imatiois emphiesmenon idou oi en imatismo endoxo kai truphe uparchontes en tois basileiois eisin.	Luk|7|25|

26. But what went ye out for to see? A [prophet PR.B->19]? Yea, I say unto you, and much more than a [prophet PR.B->20].	αλλα τι εξεληλυθατε ιδειν προφητην ναι λεγω υμιν και περισσοτερον προφητου.	alla ti exeleluthate idein propheten nai lego umin kai perissoteron prophetou.	Luk|7|26|

27. This is he, of whom it is written, Behold, I send My messenger before Thy Face, which shall prepare Thy way before Thee.	ουτος εστιν περι ου γεγραπται ιδου εγω αποστελλω τον αγγελον μου προ προσωπου σου ος κατασκευασει την οδον σου εμπροσθεν σου.	outos estin peri ou gegraptai idou ego apostello ton aggelon mou pro prosopou sou os kataskeuasei ten odon sou emprosthen sou.	Luk|7|27|

28. For I say unto you, Among those that are born of women there is not a greater [prophet PR.B->21] than John the Baptist: but he that is least in the kingdom of God is greater than he.	λεγω γαρ υμιν μειζων εν γεννητοις γυναικων προφητης ιωαννου του βαπτιστου ουδεις εστιν ο δε μικροτερος εν τη βασιλεια του θεου μειζων αυτου εστι.	lego gar umin meizon en gennetois gunaikon prophetes ioannou tou baptistou oudeis estin o de mikroteros en te basileia tou theou meizon autou esti.	Luk|7|28|

29. And all the people that heard Him, and the publicans, justified God, being baptized with the baptism of John.	και πας ο λαος ακουσας και οι τελωναι εδικαιωσαν τον θεον βαπτισθεντες το βαπτισμα ιωαννου	kai pas o laos akousas kai oi telonai edikaiosan ton theon baptisthentes to baptisma ioannou	Luk|7|29|

30. But the Pharisees and lawyers rejected the counsel of God against themselves, being not baptized of him.	οι δε φαρισαιοι και οι νομικοι την βουλην του θεου ηθετησαν εις εαυτους μη βαπτισθεντες υπ αυτου.	oi de pharisaioi kai oi nomikoi ten boulen tou theou ethetesan eis eautous me baptisthentes up autou.	Luk|7|30|

31. {~} Whereunto then shall I liken the men of this generation? and to what are they like?	τινι ουν ομοιωσω τους ανθρωπους της γενεας ταυτης και τινι εισιν ομοιοι	tini oun omoioso tous anthropous tes geneas tautes kai tini eisin omoioi	Luk|7|31|

32. They are like unto children sitting in the marketplace, and calling one to another, and saying, We have piped unto you, and ye have not danced; we have mourned to you, and ye have not wept.	ομοιοι εισι παιδιοις τοις εν αγορα καθημενοις και προσφωνουσιν αλληλοις και λεγουσιν ηυλησαμεν υμιν και ουκ ωρχησασθε εθρηνησαμεν υμιν και ουκ εκλαυσατε.	omoioi eisi paidiois tois en agora kathemenois kai prosphonousin allelois kai legousin eulesamen umin kai ouk orchesasthe ethrenesamen umin kai ouk eklausate.	Luk|7|32|

33. For John the Baptist came neither eating bread nor drinking wine; and ye say, He hath a devil.	εληλυθε γαρ ιωαννης ο βαπτιστης μητε αρτον εσθιων μητε οινον πινων και λεγετε δαιμονιον εχει.	eleluthe gar ioannes o baptistes mete arton esthion mete oinon pinon kai legete daimonion echei.	Luk|7|33|

34. The Son of man is come eating and drinking; and ye say, Behold a gluttonous Man, and a winebibber, a Friend of publicans and sinners!	εληλυθεν ο υιος του ανθρωπου εσθιων και πινων και λεγετε ιδου ανθρωπος φαγος και οινοποτης φιλος τελωνων και αμαρτωλων.	eleluthen o uios tou anthropou esthion kai pinon kai legete idou anthropos phagos kai oinopotes philos telonon kai amartolon.	Luk|7|34|

35. But Wisdom is justified of all Her children.	και εδικαιωθη η σοφια απο των τεκνων αυτης παντων.	kai edikaiothe e sophia apo ton teknon autes panton.	Luk|7|35|

36. And one of the Pharisees desired Him that He would eat with him. And He went into the Phariseeís house, and sat down to meat.	ηρωτα δε τις αυτον των φαρισαιων ινα φαγη μετ αυτου και εισελθων εις τον οικον του φαρισαιου ανεκλιθη.	erota de tis auton ton pharisaion ina phage met autou kai eiselthon eis ton oikon tou pharisaiou aneklithe.	Luk|7|36|

37. And, behold, a woman in the city, which was a sinner, when she knew that Jesus sat at meat in the Phariseeís house, brought an alabaster box of ointment,	και ιδου γυνη εν τη πολει ητις ην αμαρτωλος και επιγνουσα οτι ανακειται εν τη οικια του φαρισαιου κομισασα αλαβαστρον μυρου	kai idou gune en te polei etis en amartolos kai epignousa oti anakeitai en te oikia tou pharisaiou komisasa alabastron murou	Luk|7|37|

38. And stood at His Feet behind Him weeping, and began to wash His Feet with tears, and did wipe them with the hairs of her head, and kissed His Feet, and anointed them with the ointment.	και στασα οπισω παρα τους ποδας αυτου κλαιουσα ηρξατο βρεχειν τους ποδας αυτου τοις δακρυσι και ταις θριξι της κεφαλης αυτης εξεμασσε και κατεφιλει τους ποδας αυτου και ηλειφε τω μυρω.	kai stasa opiso para tous podas autou klaiousa erxato brechein tous podas autou tois dakrusi kai tais thrixi tes kephales autes exemasse kai katephilei tous podas autou kai eleiphe to muro.	Luk|7|38|

39. Now when the Pharisee which had bidden Him saw it, he spake within himself, saying, This Man, if He were a prophet, would have known who and what manner of woman this is that toucheth Him: for she is a sinner.	ιδων δε ο φαρισαιος ο καλεσας αυτον ειπεν εν εαυτω λεγων ουτος ει ην προφητης εγινωσκεν αν τις και ποταπη η γυνη ητις απτεται αυτου οτι αμαρτωλος εστι.	idon de o pharisaios o kalesas auton eipen en eauto legon outos ei en prophetes eginosken an tis kai potape e gune etis aptetai autou oti amartolos esti.	Luk|7|39|

40. And Jesus answering said unto him, Simon, I have somewhat to say unto thee. And he saith, Teacher, say on.	και αποκριθεις ο ιησους ειπε προς αυτον σιμων εχω σοι τι ειπειν. ο δε φησι διδασκαλε ειπε.	kai apokritheis o iesous eipe pros auton simon echo soi ti eipein. o de phesi didaskale eipe.	Luk|7|40|

41. There was a certain Creditor which had two debtors: the one owed five hundred pence, and the other fifty.	δυο χρεοφειλεται ησαν δανιστη τινι ο εις ωφειλε δηναρια πεντακοσια ο δε ετερος πεντηκοντα.	duo chreopheiletai esan daniste tini o eis opheile denaria pentakosia o de eteros pentekonta.	Luk|7|41|

42. And when they had nothing to pay, He frankly Forgave them both. Tell me therefore, which of them will love Him most?	μη εχοντων δε αυτων αποδουναι αμφοτεροις εχαρισατο. τις ουν αυτων ειπε πλειον αγαπησει	me echonton de auton apodounai amphoterois echarisato. tis oun auton eipe pleion agapesei	Luk|7|42|

43. Simon answered and said, I suppose that he, to whom He Forgave most. And He said unto him, Thou hast rightly judged.	αποκριθεις δε ο σιμων ειπεν υπολαμβανω οτι ω το πλειον εχαρισατο. ο δε ειπεν αυτω ορθως εκρινας.	apokritheis de o simon eipen upolambano oti o to pleion echarisato. o de eipen auto orthos ekrinas.	Luk|7|43|

44. And He turned to the woman, and said unto Simon, Seest thou this woman? I entered into thine house, thou gavest me no water for My Feet: but she hath washed My Feet with tears, and wiped them with the hairs of her head.	και στραφεις προς την γυναικα τω σιμωνι εφη βλεπεις ταυτην την γυναικα εισηλθον σου εις την οικιαν υδωρ επι τους ποδας μου ουκ εδωκας αυτη δε τοις δακρυσιν εβρεξε μου τους ποδας και ταις θριξι της κεφαλης αυτης εξεμαξε.	kai strapheis pros ten gunaika to simoni ephe blepeis tauten ten gunaika eiselthon sou eis ten oikian udor epi tous podas mou ouk edokas aute de tois dakrusin ebrexe mou tous podas kai tais thrixi tes kephales autes exemaxe.	Luk|7|44|

45. Thou gavest Me no kiss: but this woman since the time I came in hath not ceased to kiss My Feet.	φιλημα μοι ουκ εδωκας αυτη δε αφ ης εισηλθον ου διελιπε καταφιλουσα μου τους ποδας.	philema moi ouk edokas aute de aph es eiselthon ou dielipe kataphilousa mou tous podas.	Luk|7|45|

46. My Head with oil thou didst not anoint: but this woman hath anointed My Feet with ointment.	ελαιω την κεφαλην μου ουκ ηλειψας αυτη δε μυρω ηλειψε μου τους ποδας.	elaio ten kephalen mou ouk eleipsas aute de muro eleipse mou tous podas.	Luk|7|46|

47. Wherefore I say unto thee, Her sins, which are many, are forgiven; for she loved much: but to whom little is forgiven, the same loveth little.	ου χαριν λεγω σοι αφεωνται αι αμαρτιαι αυτης αι πολλαι οτι ηγαπησε πολυ ω δε ολιγον αφιεται ολιγον αγαπα.	ou charin lego soi apheontai ai amartiai autes ai pollai oti egapese polu o de oligon aphietai oligon agapa.	Luk|7|47|

48. And He said unto her, Thy sins are forgiven.	ειπε δε αυτη αφεωνται σου αι αμαρτιαι.	eipe de aute apheontai sou ai amartiai.	Luk|7|48|

49. And they that sat at meat with Him began to say within themselves, Who is this that forgiveth sins also?	και ηρξαντο οι συνανακειμενοι λεγειν εν εαυτοις τις ουτος εστιν ος και αμαρτιας αφιησιν	kai erxanto oi sunanakeimenoi legein en eautois tis outos estin os kai amartias aphiesin	Luk|7|49|

50. And He said to the woman, Thy faith hath saved thee; go in peace.	ειπε δε προς την γυναικα η πιστις σου σεσωκε σε πορευου εις ειρηνην.	eipe de pros ten gunaika e pistis sou sesoke se poreuou eis eirenen.	Luk|7|50|

1. And it came to pass afterward, that He went throughout every city and village, preaching and shewing The Gospel of The Kingdom of God: and the [twelve TW->23] were with Him,	και εγενετο εν τω καθεξης και αυτος διωδευεν κατα πολιν και κωμην κηρυσσων και ευαγγελιζομενος την βασιλειαν του θεου και οι δωδεκα συν αυτω	kai egeneto en to kathexes kai autos diodeuen kata polin kai komen kerusson kai euaggelizomenos ten basileian tou theou kai oi dodeka sun auto	Luk|8|1|

2. And certain women, which had been healed of evil spirits and infirmities, Mary called Magdalene, out of whom went seven devils,	και γυναικες τινες αι ησαν τεθεραπευμεναι απο πνευματων πονηρων και ασθενειων μαρια η καλουμενη μαγδαληνη αφ ης δαιμονια επτα εξεληλυθει	kai gunaikes tines ai esan tetherapeumenai apo pneumaton poneron kai astheneion maria e kaloumene magdalene aph es daimonia epta exeleluthei	Luk|8|2|

3. And Joanna the wife of Chuza Herodís steward, and Susanna, and many others, which ministered unto Him of their substance.	και ιωαννα γυνη χουζα επιτροπου ηρωδου και σουσαννα και ετεραι πολλαι αιτινες διηκονουν αυτω απο των υπαρχοντων αυταις.	kai ioanna gune chouza epitropou erodou kai sousanna kai eterai pollai aitines diekonoun auto apo ton uparchonton autais.	Luk|8|3|

4. And when much people were gathered together, and were come to Him out of every city, He spake by a parable:	συνιοντος δε οχλου πολλου και των κατα πολιν επιπορευομενων προς αυτον ειπε δια παραβολης	suniontos de ochlou pollou kai ton kata polin epiporeuomenon pros auton eipe dia paraboles	Luk|8|4|

5. A Sower went out to sow His seed: and as He sowed, some fell by the way side; and it was trodden down, and the fowls of the air devoured it.	εξηλθεν ο σπειρων του σπειραι τον σπορον αυτου. και εν τω σπειρειν αυτον ο μεν επεσε παρα την οδον και κατεπατηθη και τα πετεινα του ουρανου κατεφαγεν αυτο	exelthen o speiron tou speirai ton sporon autou. kai en to speirein auton o men epese para ten odon kai katepatethe kai ta peteina tou ouranou katephagen auto	Luk|8|5|

6. And some fell upon a rock; and as soon as it was sprung up, it withered away, because it lacked moisture.	και ετερον επεσεν επι την πετραν και φυεν εξηρανθη δια το μη εχειν ικμαδα	kai eteron epesen epi ten petran kai phuen exeranthe dia to me echein ikmada	Luk|8|6|

7. And some fell among thorns; and the thorns sprang up with it, and choked it.	και ετερον επεσεν εν μεσω των ακανθων και συμφυεισαι αι ακανθαι απεπνιξαν αυτο.	kai eteron epesen en meso ton akanthon kai sumphueisai ai akanthai apepnixan auto.	Luk|8|7|

8. And other fell on good ground, and sprang up, and bare fruit an hundredfold. And when He had said these things, He cried, He that hath ears to hear, let him hear.	και ετερον επεσεν εις την γην την αγαθην και φυεν εποιησε καρπον εκατονταπλασιονα. ταυτα λεγων εφωνει ο εχων ωτα ακουειν ακουετω.	kai eteron epesen eis ten gen ten agathen kai phuen epoiese karpon ekatontaplasiona. tauta legon ephonei o echon ota akouein akoueto.	Luk|8|8|

9. And His disciples asked Him, saying, What might this parable be?	επηρωτων δε αυτον οι μαθηται αυτου λεγοντες τις ειη η παραβολη αυτη	eperoton de auton oi mathetai autou legontes tis eie e parabole aute	Luk|8|9|

10. And He said, Unto you it is given to know The Mysteries of The Kingdom of God: but to others in parables; that seeing they might not see, and hearing they might not understand.	ο δε ειπεν υμιν δεδοται γνωναι τα μυστηρια της βασιλειας του θεου τοις δε λοιποις εν παραβολαις ινα βλεποντες μη βλεπωσι και ακουοντες μη συνιωσιν.	o de eipen umin dedotai gnonai ta musteria tes basileias tou theou tois de loipois en parabolais ina blepontes me bleposi kai akouontes me suniosin.	Luk|8|10|

11. Now the parable is this: The seed is The Word of God.	εστι δε αυτη η παραβολη ο σπορος εστιν ο λογος του θεου.	esti de aute e parabole o sporos estin o logos tou theou.	Luk|8|11|

12. Those by the way side are they that hear; then cometh the devil, and taketh away The Word out of their hearts, lest they should believe and be saved.	οι δε παρα την οδον εισιν οι ακουσαντες ειτα ερχεται ο διαβολος και αιρει τον λογον απο της καρδιας αυτων ινα μη πιστευσαντες σωθωσιν.	oi de para ten odon eisin oi akousantes eita erchetai o diabolos kai airei ton logon apo tes kardias auton ina me pisteusantes sothosin.	Luk|8|12|

13. They on the rock are they, which, when they hear, receive the word with joy; and these have no root, which for a while believe, and in time of temptation fall away.	οι δε επι της πετρας οι οταν ακουσωσι μετα χαρας δεχονται τον λογον και ουτοι ριζαν ουκ εχουσιν οι προς καιρον πιστευουσι και εν καιρω πειρασμου αφιστανται.	oi de epi tes petras oi otan akousosi meta charas dechontai ton logon kai outoi rizan ouk echousin oi pros kairon pisteuousi kai en kairo peirasmou aphistantai.	Luk|8|13|

14. And that which fell among thorns are they, which, when they have heard, go forth, and are choked with cares and riches and pleasures of this life, and bring no fruit to perfection.	το δε εις τας ακανθας πεσον ουτοι εισιν οι ακουσαντες και υπο μεριμνων και πλουτου και ηδονων του βιου πορευομενοι συμπνιγονται και ου τελεσφορουσι.	to de eis tas akanthas peson outoi eisin oi akousantes kai upo merimnon kai ploutou kai edonon tou biou poreuomenoi sumpnigontai kai ou telesphorousi.	Luk|8|14|

15. But that on the good ground are they, which in an honest and good heart, having heard The Word, keep it, and bring forth fruit with patience.	το δε εν τη καλη γη ουτοι εισιν οιτινες εν καρδια καλη και αγαθη ακουσαντες τον λογον κατεχουσι και καρποφορουσιν εν υπομονη.	to de en te kale ge outoi eisin oitines en kardia kale kai agathe akousantes ton logon katechousi kai karpophorousin en upomone.	Luk|8|15|

16. No man, when he hath lighted a candle, covereth it with a vessel, or putteth it under a bed; but setteth it on a candlestick, that they which enter in may see the light.	ουδεις δε λυχνον αψας καλυπτει αυτον σκευει η υποκατω κλινης τιθησιν αλλ επι λυχνιας επιτιθησιν ινα οι εισπορευομενοι βλεπωσι το φως.	oudeis de luchnon apsas kaluptei auton skeuei e upokato klines tithesin all epi luchnias epitithesin ina oi eisporeuomenoi bleposi to phos.	Luk|8|16|

17. For nothing is secret, that shall not be made manifest; neither any thing hid, that shall not be known and come abroad.	ου γαρ εστι κρυπτον ο ου φανερον γενησεται ουδε αποκρυφον ο ου γνωσθησεται και εις φανερον ελθη.	ou gar esti krupton o ou phaneron genesetai oude apokruphon o ou gnosthesetai kai eis phaneron elthe.	Luk|8|17|

18. Take heed therefore how ye hear: for whosoever hath, to him shall be given; and whosoever hath not, from him shall be taken even that which he seemeth to have.	βλεπετε ουν πως ακουετε ος γαρ εαν εχη δοθησεται αυτω και ος εαν μη εχη και ο δοκει εχειν αρθησεται απ αυτου.	blepete oun pos akouete os gar ean eche dothesetai auto kai os ean me eche kai o dokei echein arthesetai ap autou.	Luk|8|18|

